t,surface,4mm,diameter
135,40.18,75.63,7
136,40.18,75.77,7
137,40.19,75.9,7
138,40.2,76.03,7
139,40.2,76.17,7
140,40.21,76.3,7
141,40.21,76.43,7
142,40.22,76.56,7
143,40.22,76.69,7
144,40.23,76.82,7
145,40.23,76.94,7
146,40.24,77.07,7
147,40.24,77.19,7
148,40.24,77.32,7
149,40.25,77.44,7
150,40.25,77.56,7
151,40.26,77.68,7
152,40.26,77.8,7
153,40.27,77.92,7
154,40.27,78.04,7
155,40.28,78.16,7
156,40.28,78.28,7
157,40.29,78.4,7
158,40.29,78.51,7
159,40.29,78.63,7
160,40.3,78.74,7
161,40.3,78.85,7
162,40.31,78.96,7
163,40.31,79.08,7
164,40.32,79.19,7
165,40.32,79.3,7
166,40.32,79.41,7
167,40.33,79.52,7
168,40.33,79.62,7
169,40.34,79.73,7
170,40.34,79.84,7
171,40.35,79.94,7
172,40.35,80.05,7
173,40.35,80.15,7
174,40.36,80.26,7
175,40.36,80.36,7
176,40.36,80.46,7
177,40.37,80.56,7
178,40.37,80.66,7
179,40.38,80.76,7
180,40.38,80.86,7
1,37.63,37.41,8
2,37.93,37.82,8
3,38.14,38.24,8
4,38.31,38.65,8
5,38.45,39.07,8
6,38.58,39.49,8
7,38.69,39.91,8
8,38.79,40.33,8
9,38.88,40.76,8
10,38.96,41.18,8
11,39.04,41.6,8
12,39.12,42.02,8
13,39.19,42.44,8
14,39.25,42.85,8
15,39.31,43.27,8
16,39.37,43.68,8
17,39.43,44.08,8
18,39.48,44.49,8
19,39.53,44.89,8
20,39.58,45.28,8
21,39.63,45.67,8
22,39.67,46.06,8
23,39.72,46.44,8
24,39.76,46.81,8
25,39.8,47.19,8
26,39.84,47.56,8
27,39.88,47.92,8
28,39.92,48.28,8
29,39.95,48.63,8
30,39.99,48.98,8
31,40.02,49.33,8
32,40.06,49.67,8
33,40.09,50,8
34,40.12,50.34,8
35,40.15,50.66,8
36,40.18,50.99,8
37,40.21,51.31,8
38,40.24,51.62,8
39,40.27,51.94,8
40,40.29,52.24,8
41,40.32,52.55,8
42,40.35,52.85,8
43,40.37,53.14,8
44,40.4,53.44,8
45,40.42,53.73,8
46,40.45,54.01,8
47,40.47,54.29,8
48,40.49,54.57,8
49,40.52,54.85,8
50,40.54,55.12,8
51,40.56,55.39,8
52,40.58,55.65,8
53,40.6,55.92,8
54,40.62,56.18,8
55,40.65,56.43,8
56,40.67,56.69,8
57,40.69,56.94,8
58,40.7,57.18,8
59,40.72,57.43,8
60,40.74,57.67,8
61,40.76,57.91,8
62,40.78,58.15,8
63,40.8,58.38,8
64,40.82,58.61,8
65,40.83,58.84,8
66,40.85,59.07,8
67,40.87,59.29,8
68,40.88,59.52,8
69,40.9,59.73,8
70,40.92,59.95,8
71,40.93,60.17,8
72,40.95,60.38,8
73,40.97,60.59,8
74,40.98,60.8,8
75,41,61.01,8
76,41.01,61.21,8
77,41.03,61.41,8
78,41.04,61.61,8
79,41.06,61.81,8
80,41.07,62.01,8
81,41.08,62.2,8
82,41.1,62.39,8
83,41.11,62.58,8
84,41.13,62.77,8
85,41.14,62.96,8
86,41.15,63.15,8
87,41.17,63.33,8
88,41.18,63.51,8
89,41.19,63.69,8
90,41.2,63.87,8
91,41.22,64.05,8
92,41.23,64.22,8
93,41.24,64.39,8
94,41.25,64.57,8
95,41.27,64.74,8
96,41.28,64.9,8
