t,Surface,vessel,distance,input,POI
87,43.51,5,1,40,92.23
88,43.52,5,1,40,92.47
89,43.53,5,1,40,92.70
90,43.55,5,1,40,92.93
91,43.56,5,1,40,93.16
92,43.57,5,1,40,93.39
93,43.59,5,1,40,93.61
94,43.60,5,1,40,93.83
95,43.61,5,1,40,94.05
96,43.63,5,1,40,94.26
97,43.64,5,1,40,94.48
98,43.65,5,1,40,94.69
99,43.67,5,1,40,94.90
100,43.68,5,1,40,95.10
101,43.69,5,1,40,95.31
102,43.70,5,1,40,95.51
103,43.71,5,1,40,95.71
104,43.73,5,1,40,95.91
105,43.74,5,1,40,96.11
106,43.75,5,1,40,96.30
107,43.76,5,1,40,96.49
108,43.77,5,1,40,96.68
109,43.78,5,1,40,96.87
110,43.79,5,1,40,97.06
111,43.81,5,1,40,97.24
112,43.82,5,1,40,97.43
113,43.83,5,1,40,97.61
114,43.84,5,1,40,97.79
115,43.85,5,1,40,97.97
116,43.86,5,1,40,98.14
117,43.87,5,1,40,98.32
118,43.88,5,1,40,98.49
119,43.89,5,1,40,98.66
120,43.90,5,1,40,98.83
121,43.91,5,1,40,98.99
122,43.92,5,1,40,99.10
123,43.93,5,1,40,99.19
124,43.94,5,1,40,99.26
125,43.95,5,1,40,99.33
126,43.96,5,1,40,99.38
127,43.97,5,1,40,99.44
128,43.97,5,1,40,99.48
129,43.98,5,1,40,99.52
130,43.99,5,1,40,99.56
131,43.99,5,1,40,99.59
132,44.00,5,1,40,99.62
133,44.01,5,1,40,99.65
134,44.01,5,1,40,99.67
135,44.02,5,1,40,99.69
136,44.02,5,1,40,99.72
137,44.03,5,1,40,99.74
138,44.03,5,1,40,99.75
139,44.04,5,1,40,99.77
140,44.04,5,1,40,99.78
141,44.04,5,1,40,99.80
142,44.05,5,1,40,99.81
143,44.05,5,1,40,99.82
144,44.05,5,1,40,99.83
145,44.05,5,1,40,99.84
146,44.06,5,1,40,99.85
147,44.06,5,1,40,99.86
148,44.06,5,1,40,99.87
149,44.06,5,1,40,99.87
150,44.07,5,1,40,99.88
151,44.07,5,1,40,99.89
152,44.07,5,1,40,99.89
153,44.07,5,1,40,99.90
154,44.07,5,1,40,99.90
155,44.07,5,1,40,99.91
156,44.08,5,1,40,99.91
157,44.08,5,1,40,99.92
158,44.08,5,1,40,99.92
159,44.08,5,1,40,99.92
160,44.08,5,1,40,99.93
161,44.08,5,1,40,99.93
162,44.08,5,1,40,99.93
163,44.08,5,1,40,99.93
164,44.09,5,1,40,99.94
165,44.09,5,1,40,99.94
166,44.09,5,1,40,99.94
167,44.09,5,1,40,99.94
168,44.09,5,1,40,99.94
169,44.09,5,1,40,99.95
170,44.09,5,1,40,99.95
171,44.09,5,1,40,99.95
172,44.09,5,1,40,99.95
173,44.09,5,1,40,99.95
174,44.09,5,1,40,99.95
175,44.09,5,1,40,99.95
176,44.09,5,1,40,99.96
177,44.09,5,1,40,99.96
178,44.09,5,1,40,99.96
179,44.10,5,1,40,99.96
180,44.10,5,1,40,99.96
1,37.75,6,0,40,38.03
2,38.04,6,0,40,39.06
3,38.24,6,0,40,40.11
4,38.40,6,0,40,41.15
5,38.54,6,0,40,42.19
6,38.65,6,0,40,43.20
7,38.76,6,0,40,44.19
8,38.85,6,0,40,45.16
9,38.94,6,0,40,46.10
10,39.02,6,0,40,47.01
11,39.09,6,0,40,47.89
12,39.16,6,0,40,48.74
13,39.22,6,0,40,49.57
14,39.28,6,0,40,50.37
15,39.34,6,0,40,51.15
16,39.39,6,0,40,51.90
17,39.44,6,0,40,52.63
18,39.49,6,0,40,53.34
19,39.54,6,0,40,54.03
20,39.58,6,0,40,54.70
21,39.63,6,0,40,55.35
22,39.67,6,0,40,55.99
23,39.71,6,0,40,56.61
24,39.74,6,0,40,57.21
25,39.78,6,0,40,57.80
26,39.82,6,0,40,58.37
27,39.85,6,0,40,58.93
28,39.89,6,0,40,59.47
29,39.92,6,0,40,60.01
30,39.95,6,0,40,60.53
31,39.98,6,0,40,61.04
32,40.01,6,0,40,61.54
33,40.04,6,0,40,62.03
34,40.07,6,0,40,62.50
